id,sourceType,level,featureId,domainId,featId,companionId,editionId
19316,1,1,51,,,,
19319,1,1,7,,,,
19322,1,1,78,,,,
19325,1,1,81,,,,
19328,1,1,87,,,,
19331,1,1,90,,,,
19334,1,4,93,,,,
19337,1,1,96,,,,
19340,1,1,99,,,,
19343,1,13,102,,,,
19346,1,15,105,,,,
19349,1,3,108,,,,
19352,1,9,111,,,,
19355,1,5,114,,,,
19358,1,1,303,,,,
19361,1,2,327,,,,
19364,1,1,1,,,,
19367,1,1,2,,,,
19370,1,16,1442,,,,
19373,1,1,84,,,,
19376,1,1,201,,,,
19379,1,1,204,,,,
19382,1,3,207,,,,
19385,1,1,210,,,,
19388,1,2,213,,,,
19391,1,3,216,,,,
19394,1,1,219,,,,
19397,1,1,222,,,,
19400,1,2,225,,,,
19403,1,5,228,,,,
19406,1,6,231,,,,
19409,1,1,234,,,,
19412,1,4,237,,,,
19415,1,4,240,,,,
19418,1,1,1,,,,
19421,1,1,2,,,,
19424,1,9,117,,,,
19427,1,4,246,,,,
19430,1,13,249,,,,
19433,1,2,252,,,,
19436,1,11,255,,,,
19439,1,3,258,,,,
19442,1,1,261,,,,
19445,1,17,264,,,,
19448,1,4,270,,,,
19451,1,8,273,,,,
19454,1,1,276,,,,
19457,1,1,303,,,,
19460,1,7,327,,,,
19463,1,1,1,,,,
19466,1,1,2,,,,
19508,5,1,1520,,36,,
19511,5,1,1523,,39,,
19514,5,1,1526,,42,,
19517,5,1,1529,,45,,
19520,5,1,1532,,48,,
19523,5,1,1535,,51,,
19526,5,1,1538,,54,,
19529,5,1,1541,,57,,
19532,5,1,1544,,60,,
19535,5,1,1547,,63,,
19538,5,1,1550,,66,,
19541,5,1,1553,,69,,
19544,5,1,1556,,72,,
19547,5,1,1559,,75,,
19550,5,1,1562,,78,,
19553,5,1,1565,,81,,
19556,5,1,1568,,84,,
19559,5,1,1571,,87,,
19562,5,1,1574,,90,,
19565,5,1,1577,,93,,
19568,5,1,1580,,96,,
19571,5,1,1583,,99,,
19574,5,1,1586,,102,,
19577,5,1,1589,,105,,
19580,5,1,1592,,108,,
19583,5,1,1595,,111,,
19586,5,1,1598,,114,,
19589,5,1,1601,,117,,
19592,5,1,1604,,120,,
19595,5,1,1607,,123,,
19598,5,1,1610,,126,,
19601,5,1,1613,,129,,
19604,5,1,1616,,132,,
19607,5,1,1619,,135,,
19610,5,1,1622,,138,,
19613,5,1,1625,,141,,
19619,5,1,1631,,147,,
19622,5,1,1634,,150,,
19625,5,1,1637,,153,,
19628,5,1,1640,,156,,
19631,5,1,1643,,159,,
19634,5,1,1646,,162,,
19637,5,1,1649,,165,,
19640,5,1,1652,,168,,
19643,5,1,1655,,171,,
19646,5,1,1658,,174,,
19649,5,1,1661,,177,,
19652,5,1,1664,,180,,
19655,5,1,1667,,183,,
19658,5,1,1670,,186,,
19661,5,1,1673,,189,,
19664,5,1,1676,,192,,
19667,5,1,1679,,195,,
19670,5,1,1682,,198,,
19673,5,1,1685,,201,,
19676,5,1,1688,,204,,
19679,5,1,1691,,207,,
19682,5,1,1694,,210,,
19685,5,1,1697,,213,,
19688,5,1,1700,,216,,
19691,5,1,1703,,219,,
19694,5,1,1706,,222,,
19697,5,1,1709,,225,,
19700,5,1,1712,,228,,
19703,5,1,1715,,231,,
19706,5,1,1718,,234,,
19709,5,1,1721,,237,,
19712,5,1,1724,,240,,
19715,5,1,1727,,243,,
19718,5,1,1730,,246,,
19721,5,1,1733,,249,,
19724,5,1,1736,,252,,
19727,5,1,1739,,255,,
19730,5,1,1742,,258,,
19733,5,1,1745,,261,,
19736,5,1,1748,,264,,
19739,5,1,1751,,267,,
19742,5,1,1754,,270,,
19745,5,1,1757,,273,,
19748,5,1,1760,,276,,
19751,5,1,1763,,279,,
19754,5,1,1766,,282,,
19757,5,1,1769,,285,,
19760,5,1,1772,,288,,
19763,5,1,1775,,291,,
19766,5,1,1778,,294,,
19769,5,1,1781,,297,,
19772,5,1,1784,,300,,
19775,5,1,1787,,303,,
19781,5,1,1793,,309,,
19787,5,1,1799,,315,,
19790,5,1,1802,,318,,
19793,5,1,1805,,321,,
19799,5,1,1811,,327,,
19802,5,1,1814,,330,,
19805,5,1,1817,,333,,
19808,5,1,1820,,336,,
19811,5,1,1823,,339,,
19814,5,1,1826,,342,,
19817,5,1,1829,,345,,
19820,5,1,1832,,348,,
19823,5,1,1835,,351,,
19826,5,1,1838,,354,,
19829,5,1,1841,,357,,
19832,5,1,1844,,360,,
19838,5,1,1808,,324,,
19841,5,1,1481,,1,,
19844,5,1,1484,,2,,
19847,5,1,1487,,3,,
19850,5,1,1499,,15,,
19853,5,1,1490,,6,,
19856,5,1,1493,,9,,
19859,5,1,1496,,12,,
19862,5,1,1502,,18,,
19865,5,1,1505,,21,,
19868,5,1,1508,,24,,
19871,5,1,1511,,27,,
19874,5,1,1514,,30,,
19913,6,1,6,,,38,
19916,6,1,6,,,41,
19919,6,1,6,,,44,
19922,6,1,6,,,47,
19925,6,1,6,,,50,
19928,6,1,6,,,53,
19931,6,1,6,,,56,
19934,6,1,6,,,59,
19937,6,1,6,,,62,
19940,6,1,6,,,65,
19943,5,1,1517,,33,,
19976,5,1,1847,,362,,
19979,1,1,318,,,,
19988,1,1,306,,,,
19991,1,5,309,,,,
19994,1,1,291,,,,
19997,1,1,315,,,,
20000,1,1,321,,,,
20003,1,1,312,,,,
20006,1,1,324,,,,
20012,7,1,1856,,,,8
20015,7,4,1856,,,,8
20018,5,1,1628,,144,,
20021,5,1,1790,,306,,
20024,5,1,1796,,312,,
20567,1,1,1865,,,,
20570,1,2,1865,,,,
20573,1,3,1865,,,,
20576,1,4,1865,,,,
20579,1,5,1865,,,,
20582,1,6,1865,,,,
20585,1,7,1865,,,,
20588,1,8,1865,,,,
20591,1,9,1865,,,,
20594,1,10,1865,,,,
20597,1,11,1865,,,,
20600,1,12,1865,,,,
20603,1,13,1865,,,,
20606,1,14,1865,,,,
20609,1,15,1865,,,,
20612,1,16,1865,,,,
20615,1,17,1865,,,,
20618,1,18,1865,,,,
20621,1,19,1865,,,,
20624,1,20,1865,,,,
20627,1,1,1865,,,,
20630,1,2,1865,,,,
20633,1,3,1865,,,,
20636,1,4,1865,,,,
20639,1,5,1865,,,,
20642,1,6,1865,,,,
20645,1,7,1865,,,,
20648,1,8,1865,,,,
20651,1,9,1865,,,,
20654,1,10,1865,,,,
20657,1,11,1865,,,,
20660,1,12,1865,,,,
20663,1,13,1865,,,,
20666,1,14,1865,,,,
20669,1,15,1865,,,,
20672,1,16,1865,,,,
20675,1,17,1865,,,,
20678,1,18,1865,,,,
20681,1,19,1865,,,,
20684,1,20,1865,,,,
20687,1,1,1865,,,,
20690,1,2,1865,,,,
20693,1,3,1865,,,,
20696,1,4,1865,,,,
20699,1,5,1865,,,,
20702,1,6,1865,,,,
20705,1,7,1865,,,,
20708,1,8,1865,,,,
20711,1,9,1865,,,,
20714,1,10,1865,,,,
20717,1,11,1865,,,,
20720,1,12,1865,,,,
20723,1,13,1865,,,,
20726,1,14,1865,,,,
20729,1,15,1865,,,,
20732,1,16,1865,,,,
20735,1,17,1865,,,,
20738,1,18,1865,,,,
20741,1,19,1865,,,,
20744,1,20,1865,,,,
20747,1,1,1865,,,,
20750,1,2,1865,,,,
20753,1,3,1865,,,,
20756,1,4,1865,,,,
20759,1,5,1865,,,,
20762,1,6,1865,,,,
20765,1,7,1865,,,,
20768,1,8,1865,,,,
20771,1,9,1865,,,,
20774,1,10,1865,,,,
20777,1,11,1865,,,,
20780,1,12,1865,,,,
20783,1,13,1865,,,,
20786,1,14,1865,,,,
20789,1,15,1865,,,,
20792,1,16,1865,,,,
20795,1,17,1865,,,,
20798,1,18,1865,,,,
20801,1,19,1865,,,,
20804,1,20,1865,,,,
20807,1,1,1865,,,,
20810,1,2,1865,,,,
20813,1,3,1865,,,,
20816,1,4,1865,,,,
20819,1,5,1865,,,,
20822,1,6,1865,,,,
20825,1,7,1865,,,,
20828,1,8,1865,,,,
20831,1,9,1865,,,,
20834,1,10,1865,,,,
20837,1,11,1865,,,,
20840,1,12,1865,,,,
20843,1,13,1865,,,,
20846,1,14,1865,,,,
20849,1,15,1865,,,,
20852,1,16,1865,,,,
20855,1,17,1865,,,,
20858,1,18,1865,,,,
20861,1,19,1865,,,,
20864,1,20,1865,,,,
20867,1,1,1865,,,,
20870,1,2,1865,,,,
20873,1,3,1865,,,,
20876,1,4,1865,,,,
20879,1,5,1865,,,,
20882,1,6,1865,,,,
20885,1,7,1865,,,,
20888,1,8,1865,,,,
20891,1,9,1865,,,,
20894,1,10,1865,,,,
20897,1,11,1865,,,,
20900,1,12,1865,,,,
20903,1,13,1865,,,,
20906,1,14,1865,,,,
20909,1,15,1865,,,,
20912,1,16,1865,,,,
20915,1,17,1865,,,,
20918,1,18,1865,,,,
20921,1,19,1865,,,,
20924,1,20,1865,,,,
20927,1,1,1865,,,,
20930,1,2,1865,,,,
20933,1,3,1865,,,,
20936,1,4,1865,,,,
20939,1,5,1865,,,,
20942,1,6,1865,,,,
20945,1,7,1865,,,,
20948,1,8,1865,,,,
20951,1,9,1865,,,,
20954,1,10,1865,,,,
20957,1,11,1865,,,,
20960,1,12,1865,,,,
20963,1,13,1865,,,,
20966,1,14,1865,,,,
20969,1,15,1865,,,,
20972,1,16,1865,,,,
20975,1,17,1865,,,,
20978,1,18,1865,,,,
20981,1,19,1865,,,,
20984,1,20,1865,,,,
20987,1,1,1865,,,,
20990,1,2,1865,,,,
20993,1,3,1865,,,,
20996,1,4,1865,,,,
20999,1,5,1865,,,,
21002,1,6,1865,,,,
21005,1,7,1865,,,,
21008,1,8,1865,,,,
21011,1,9,1865,,,,
21014,1,10,1865,,,,
21017,1,11,1865,,,,
21020,1,12,1865,,,,
21023,1,13,1865,,,,
21026,1,14,1865,,,,
21029,1,15,1865,,,,
21032,1,16,1865,,,,
21035,1,17,1865,,,,
21038,1,18,1865,,,,
21041,1,19,1865,,,,
21044,1,20,1865,,,,
21047,1,1,1868,,,,
21050,1,2,1868,,,,
21053,1,3,1868,,,,
21056,1,4,1868,,,,
21059,1,5,1868,,,,
21062,1,6,1868,,,,
21065,1,7,1868,,,,
21068,1,8,1868,,,,
21071,1,9,1868,,,,
21074,1,10,1868,,,,
21077,1,11,1868,,,,
21080,1,12,1868,,,,
21083,1,13,1868,,,,
21086,1,14,1868,,,,
21089,1,15,1868,,,,
21092,1,16,1868,,,,
21095,1,17,1868,,,,
21098,1,18,1868,,,,
21101,1,19,1868,,,,
21104,1,20,1868,,,,
21107,1,1,1871,,,,
21110,1,2,1871,,,,
21113,1,3,1871,,,,
21116,1,4,1871,,,,
21119,1,5,1871,,,,
21122,1,6,1871,,,,
21125,1,7,1871,,,,
21128,1,8,1871,,,,
21131,1,9,1871,,,,
21134,1,10,1871,,,,
21137,1,11,1871,,,,
21140,1,12,1871,,,,
21143,1,13,1871,,,,
21146,1,14,1871,,,,
21149,1,15,1871,,,,
21152,1,16,1871,,,,
21155,1,17,1871,,,,
21158,1,18,1871,,,,
21161,1,19,1871,,,,
21164,1,20,1871,,,,
21167,1,4,1874,,,,
21170,1,5,1874,,,,
21173,1,6,1874,,,,
21176,1,7,1874,,,,
21179,1,8,1874,,,,
21182,1,9,1874,,,,
21185,1,10,1874,,,,
21188,1,11,1874,,,,
21191,1,12,1874,,,,
21194,1,13,1874,,,,
21197,1,14,1874,,,,
21200,1,15,1874,,,,
21203,1,16,1874,,,,
21206,1,17,1874,,,,
21209,1,18,1874,,,,
21212,1,19,1874,,,,
21215,1,20,1874,,,,
21218,1,4,1877,,,,
21221,1,5,1877,,,,
21224,1,6,1877,,,,
21227,1,7,1877,,,,
21230,1,8,1877,,,,
21233,1,9,1877,,,,
21236,1,10,1877,,,,
21239,1,11,1877,,,,
21242,1,12,1877,,,,
21245,1,13,1877,,,,
21248,1,14,1877,,,,
21251,1,15,1877,,,,
21254,1,16,1877,,,,
21257,1,17,1877,,,,
21260,1,18,1877,,,,
21263,1,19,1877,,,,
21266,1,20,1877,,,,
21269,1,1,1880,,,,
21272,1,2,1880,,,,
21275,1,3,1880,,,,
21278,1,4,1880,,,,
21281,1,5,1880,,,,
21284,1,6,1880,,,,
21287,1,7,1880,,,,
21290,1,8,1880,,,,
21293,1,9,1880,,,,
21296,1,10,1880,,,,
21299,1,11,1880,,,,
21302,1,12,1880,,,,
21305,1,13,1880,,,,
21308,1,14,1880,,,,
21311,1,15,1880,,,,
21314,1,16,1880,,,,
21317,1,17,1880,,,,
21320,1,18,1880,,,,
21323,1,19,1880,,,,
21326,1,20,1880,,,,
21329,1,1,1883,,,,
21338,1,1,1883,,,,
21341,1,1,1883,,,,
21344,1,1,1883,,,,
21347,1,1,1883,,,,
21350,1,1,1883,,,,
21353,1,1,1883,,,,
21356,1,1,1883,,,,
21359,1,1,1883,,,,
21362,0,1,1886,,,,
21365,0,1,1886,,,,
21368,0,1,1886,,,,
21371,0,1,1886,,,,
21374,0,1,1886,,,,
21377,0,1,1886,,,,
21380,0,1,1886,,,,
21383,0,1,1886,,,,
21386,0,1,3,,,,
21389,0,1,4,,,,
21392,0,1,5,,,,
21395,0,1,345,,,,
21398,0,1,339,,,,
21401,0,1,342,,,,
21404,0,1,348,,,,
21407,0,1,351,,,,
21410,0,1,417,,,,
21413,0,1,411,,,,
21416,0,1,354,,,,
21419,0,1,423,,,,
21422,0,1,357,,,,
21425,0,1,1886,,,,
21518,1,1,8,,,,
21521,1,1,120,,,,
21524,1,11,126,,,,
21527,1,1,129,,,,
21530,1,5,135,,,,
21533,1,14,138,,,,
21536,1,20,141,,,,
21539,1,1,243,,,,
21542,1,17,294,,,,
21545,1,2,300,,,,
21548,1,7,75,,,,
21551,1,3,297,,,,
22007,1,1,9,,,,
22010,1,1,12,,,,
22013,1,1,15,,,,
22016,1,1,18,,,,
22019,1,1,21,,,,
22022,1,1,24,,,,
22025,1,1,30,,,,
22028,1,15,36,,,,
22031,1,18,39,,,,
22034,1,12,42,,,,
22037,1,1,45,,,,
22043,1,1,2,,,,
22046,1,3,27,,,,
22049,1,9,33,,,,
22052,1,6,48,,,,
22055,1,1,1859,,,,
22058,1,2,1859,,,,
22061,1,3,1859,,,,
22064,1,4,1859,,,,
22067,1,5,1859,,,,
22070,1,6,1859,,,,
22073,1,7,1859,,,,
22076,1,8,1859,,,,
22079,1,9,1859,,,,
22082,1,10,1859,,,,
22085,1,11,1859,,,,
22088,1,12,1859,,,,
22091,1,13,1859,,,,
22094,1,14,1859,,,,
22097,1,15,1859,,,,
22100,1,16,1859,,,,
22103,1,17,1859,,,,
22106,1,18,1859,,,,
22109,1,19,1859,,,,
22112,1,20,1859,,,,
22118,1,1,1859,,,,
22121,1,1,1859,,,,
22124,1,1,1859,,,,
22127,1,1,1859,,,,
22130,1,1,1859,,,,
22133,1,1,1859,,,,
22136,1,1,1859,,,,
22139,1,1,1859,,,,
22142,1,1,1859,,,,
22145,1,1,1859,,,,
22148,1,1,1859,,,,
22151,1,1,1859,,,,
22154,1,1,1859,,,,
22157,1,1,1859,,,,
22160,1,1,1859,,,,
22163,1,1,1859,,,,
22166,1,1,1859,,,,
22169,1,1,1859,,,,
22172,1,1,1859,,,,
22175,1,1,1859,,,,
22178,1,1,1859,,,,
22181,1,1,1859,,,,
22184,1,1,1859,,,,
22187,1,1,1859,,,,
22190,1,1,1859,,,,
22193,1,1,1859,,,,
22196,1,1,1859,,,,
22199,1,1,1859,,,,
22202,1,1,1859,,,,
22205,1,1,1859,,,,
22208,1,1,1859,,,,
22211,1,1,1859,,,,
22214,1,1,1859,,,,
22217,1,1,1859,,,,
22220,1,1,1859,,,,
22223,1,1,1859,,,,
22226,1,1,1859,,,,
22229,1,1,1859,,,,
22232,1,1,1859,,,,
22235,1,1,1859,,,,
22238,1,1,1859,,,,
22241,1,1,1859,,,,
22244,1,1,1859,,,,
22247,1,1,1859,,,,
22250,1,1,1859,,,,
22253,1,1,1859,,,,
22256,1,1,1859,,,,
22259,1,1,1859,,,,
22262,1,1,1859,,,,
22265,1,1,1859,,,,
22268,1,1,1859,,,,
22271,1,1,1859,,,,
22274,1,1,1859,,,,
22277,1,1,1859,,,,
22280,1,1,1859,,,,
22283,1,1,1859,,,,
22286,1,1,1859,,,,
22289,1,1,1859,,,,
22292,1,1,1859,,,,
22295,1,1,1859,,,,
22298,1,1,1859,,,,
22301,1,1,1859,,,,
22304,1,1,1859,,,,
22307,1,1,1859,,,,
22310,1,1,1859,,,,
22313,1,1,1859,,,,
22316,1,1,1859,,,,
22319,1,1,1859,,,,
22322,1,1,1859,,,,
22325,1,1,1859,,,,
22328,1,1,1859,,,,
22331,1,1,1859,,,,
22334,1,1,1859,,,,
22337,1,1,1859,,,,
22340,1,1,1859,,,,
22343,1,1,1859,,,,
22346,1,1,1859,,,,
22349,1,1,1859,,,,
22352,1,1,1859,,,,
22355,1,1,1859,,,,
22358,1,1,1859,,,,
22361,1,1,1859,,,,
22364,1,1,1859,,,,
22367,1,1,1859,,,,
22370,1,1,1859,,,,
22373,1,1,1859,,,,
22376,1,1,1859,,,,
22379,1,1,1859,,,,
22382,1,1,1859,,,,
22385,1,1,1859,,,,
22388,1,1,1859,,,,
22391,1,1,1859,,,,
22394,1,1,1859,,,,
22397,1,1,1859,,,,
22400,1,1,1859,,,,
22403,1,1,1859,,,,
22406,1,1,1859,,,,
22409,1,1,1859,,,,
22412,1,1,1859,,,,
22415,1,1,1859,,,,
22418,1,1,1859,,,,
22421,1,1,1859,,,,
22424,1,1,1859,,,,
22427,1,1,1859,,,,
22430,1,1,1859,,,,
22433,1,1,1859,,,,
22436,1,1,1859,,,,
22439,1,1,1859,,,,
22442,1,1,1859,,,,
22445,1,1,1859,,,,
22448,1,1,1859,,,,
22451,1,1,1859,,,,
22454,1,1,1859,,,,
22457,1,1,1859,,,,
22460,1,1,1859,,,,
22463,1,1,1859,,,,
22466,1,1,1859,,,,
22469,1,1,1859,,,,
22472,1,1,1859,,,,
22475,1,1,1859,,,,
22478,1,1,1859,,,,
22481,1,1,1859,,,,
22484,1,1,1859,,,,
22487,1,1,1859,,,,
22490,1,1,1859,,,,
22493,1,1,1859,,,,
22496,1,1,1859,,,,
22499,1,1,1859,,,,
22502,1,1,1859,,,,
22505,1,1,1859,,,,
22508,1,1,1859,,,,
22511,1,1,1859,,,,
22514,1,1,1859,,,,
22517,1,1,1859,,,,
22520,1,1,1859,,,,
22523,1,1,1859,,,,
22526,1,1,1859,,,,
22529,1,1,1859,,,,
22532,1,1,1859,,,,
22535,1,1,1859,,,,
22538,1,1,1859,,,,
22541,1,1,1859,,,,
22544,1,1,1859,,,,
22547,1,1,1859,,,,
22550,1,1,1859,,,,
22553,1,1,1859,,,,
22556,1,1,1859,,,,
22559,1,1,1859,,,,
22562,1,1,1859,,,,
22565,1,1,1859,,,,
22568,1,1,1859,,,,
22571,1,1,1859,,,,
22574,1,1,1859,,,,
22577,1,1,1859,,,,
22580,1,1,1859,,,,
22583,1,1,1859,,,,
22586,1,1,1859,,,,
22589,1,1,1859,,,,
22592,1,1,1859,,,,
22595,1,1,1859,,,,
22598,1,1,1859,,,,
22601,1,1,1859,,,,
22604,1,1,1859,,,,
22607,1,1,1859,,,,
22610,1,1,1859,,,,
22613,1,1,1859,,,,
22616,1,1,1859,,,,
22619,1,1,1859,,,,
22622,1,1,1859,,,,
22625,1,1,1859,,,,
22628,1,1,1859,,,,
22631,1,1,1859,,,,
22634,1,1,1859,,,,
22637,1,1,1859,,,,
22640,1,1,1859,,,,
22643,1,1,1859,,,,
22646,1,1,1859,,,,
22649,1,1,1859,,,,
22652,1,1,1859,,,,
22655,1,1,1859,,,,
22658,1,1,1889,,,,
22661,1,1,1889,,,,
22664,1,1,1889,,,,
22667,1,1,1889,,,,
22670,1,1,1889,,,,
22673,1,1,1889,,,,
22676,1,1,1889,,,,
22679,1,1,1889,,,,
22682,1,1,1889,,,,
22685,1,1,1889,,,,
22688,1,1,1889,,,,
22691,1,1,1889,,,,
22694,1,1,1889,,,,
22697,1,1,1889,,,,
22700,1,1,1889,,,,
22703,1,1,1889,,,,
22706,1,1,1889,,,,
22709,1,1,1889,,,,
22712,1,1,1889,,,,
22715,1,1,1889,,,,
22727,1,1,1892,,,,
22730,1,1,1895,,,,
22733,1,1,1898,,,,
22736,1,1,1901,,,,
22739,1,1,1904,,,,
22742,1,1,1907,,,,
22745,1,1,1910,,,,
22748,1,1,1913,,,,
22751,1,1,1916,,,,
22754,1,1,1919,,,,
22757,1,1,1922,,,,
22760,1,1,1925,,,,
22763,1,1,1928,,,,
22766,1,1,1931,,,,
22769,1,1,1934,,,,
22772,1,1,1937,,,,
22775,1,1,1940,,,,
22778,1,1,1943,,,,
22781,0,1,1946,,,,
22784,0,1,1949,,,,
22787,0,1,1952,,,,
22790,0,1,1955,,,,
22793,0,1,1958,,,,
22796,0,1,1961,,,,
22799,0,1,1964,,,,
22802,0,1,1967,,,,
22805,0,1,1970,,,,
22808,0,1,1973,,,,
22811,0,1,1976,,,,
22814,0,1,1979,,,,
22817,0,1,1982,,,,
22820,0,1,1985,,,,
22823,0,1,1988,,,,
22826,0,1,1991,,,,
22829,0,1,1994,,,,
22832,0,1,1997,,,,
22835,0,1,2000,,,,
22838,0,1,2003,,,,
22841,0,1,2006,,,,
22844,0,1,2009,,,,
22847,0,1,2012,,,,
22850,0,1,2015,,,,
22853,0,1,2018,,,,
22856,6,1,2021,,,38,
22859,6,1,2024,,,41,
22862,6,1,2027,,,44,
22865,6,1,2030,,,47,
22868,6,1,2033,,,50,
22871,6,1,2036,,,53,
22874,6,1,2039,,,56,
22877,6,1,2042,,,59,
22880,6,1,2045,,,62,
22883,6,1,2048,,,65,
